"Player,Nation,Pos,Squad,League,Age,Min,Gls_90,Ast_90,GA_90,Sh_90,SoT_90,SoT_pct,G_per_Sh,Salah_Score,Salah_Euclidean,KDB_Score,KDB_Euclidean,Outlier_Count,Is_Outlier,PC1,PC2,Cluster,Cluster_Label,Salah_Cosine,KDB_Cosine,Salah_Euc_Sim,KDB_Euc_Sim,Market_Value_M"
"Ben Gannon-Doak,sct SCO,MF,Middlesbrough,EFL Championship,18.0,1778,0.1519,0.3543,0.5062,1.4173,0.7087,50.0,0.1071,0.5361,3.769099644732973,0.5998,4.304043653366879,1,True,1.775068851058213,1.6738681282873484,2,Creative Playmaker,0.7536995844436807,0.8739986773377232,0.2096831843520835,0.1885354015450502,0.8"
"Borja Sainz,es ESP,FW,Norwich City,EFL Championship,23.0,3607,0.4491,0.0998,0.5489,2.9692,1.2725,42.86,0.1513,0.5078,3.94670155833468,0.379,5.872301525527037,0,False,3.5187176823021824,-0.3238825547110603,3,Elite Attacker,0.7115501498405877,0.5346770615628554,0.2021549083176654,0.1455116595634691,"
"Brandon Aguilera,cr CRC,MF,Rio Ave,Primeira Liga,21.0,1378,0.1959,0.0653,0.2612,1.5675,0.4572,29.17,0.125,-0.0067,5.722813258951074,-0.2561,7.338483998879896,0,False,-0.0486142197120134,-0.4448318803388758,0,Active Forward,-0.1103984985669872,-0.5067827555392823,0.1487472523007466,0.1199258762305389,"
"Brenden Aaronson,us USA,MF,Leeds United,EFL Championship,23.0,3551,0.2281,0.0507,0.2788,2.1797,0.7097,32.56,0.1047,0.1509,5.541057695697671,0.0313,7.063922184243435,0,False,0.6269240141371607,-0.3798501961724883,0,Active Forward,0.1496592412555035,-0.0305112797331241,0.1528804738502371,0.124009133167723,"
"Brian Brobbey,nl NED,FW,Ajax,Eredivisie,22.0,1555,0.2315,0.1736,0.4051,2.373,0.6945,29.27,0.0976,0.5454,4.47561000322094,0.5622,5.706376369750908,0,False,1.1403030937415408,0.9297664081625534,2,Creative Playmaker,0.7872938562597903,0.8375866206398599,0.1826280541184938,0.1491118220728704,18.0"
"Brynjolfur Darri Willumsson,is ISL,FW,Groningen,Eredivisie,23.0,960,0.375,0.0938,0.4688,2.25,0.6562,29.17,0.1667,0.5072,4.296605497031209,0.2906,6.40847129888643,0,False,1.743119914354457,-0.2881629661088111,2,Creative Playmaker,0.7194766858526583,0.3943166912930288,0.1888001665520508,0.1349806133622074,"
"Camiel Neghli,nl NED,MF,Sparta Rotterdam,Eredivisie,22.0,1382,0.3256,0.1302,0.4559,2.1491,1.1071,51.52,0.1515,0.5146,4.03189545473231,0.4005,5.811705532122872,0,False,2.710470342528732,-0.5104821175392238,2,Creative Playmaker,0.7251218271122438,0.5697058175866685,0.1987322687834337,0.1468061112278219,"
"Chris Lokesa,be BEL,MF,RKC Waalwijk,Eredivisie,19.0,1012,0.2668,0.0889,0.3557,2.4012,0.7115,29.63,0.1111,0.3901,4.990683796251282,0.2852,6.538744846054395,0,False,1.0471014178088538,0.0649617778704102,2,Creative Playmaker,0.5389170630797335,0.3868954836879665,0.1669258525422019,0.1326480760949718,"
"Chris Rigg,eng ENG,FW,Sunderland,EFL Championship,17.0,3055,0.1178,0.0295,0.1473,1.4141,0.4124,29.17,0.0833,-0.5221,6.685439101712392,-0.5358,8.043449210737547,0,False,-0.9356153059823624,-0.5309601135323528,0,Active Forward,-0.9568602997419235,-0.9666996352042708,0.1301161829227415,0.1105772782814627,"
"Christian Saydee,lr LBR,FW,Portsmouth,EFL Championship,22.0,1152,0.2344,0.0,0.2344,1.5625,0.625,40.0,0.15,0.0208,5.915950184295546,-0.2153,7.776710737646733,0,False,0.4848298251240459,-1.5175271047202756,0,Active Forward,-0.0616965317763782,-0.4348484636894005,0.1445932913557935,0.1139379010989402,"
"Cian Ashford,wls WAL,FW,Cardiff City,EFL Championship,19.0,1522,0.1183,0.1774,0.2957,1.2418,0.2365,19.05,0.0952,0.0734,5.81832880149549,0.1269,6.942851477050275,0,False,-0.7888042548266992,0.9831608111164876,1,Low Volume Player,0.0244823300230684,0.1275884596310255,0.1466635049604334,0.1258993703822054,"
"Cisse Sandra,be BEL,FW,Willem II,Eredivisie,20.0,1873,0.1922,0.0961,0.2883,1.874,0.5766,30.77,0.1026,0.343,5.4037761102869055,0.2366,6.8234482314484985,0,False,0.2897012121501218,0.0193760390069148,0,Active Forward,0.4675893740184901,0.3090918279435072,0.1561578641691764,0.1278208751967227,"
"Cédric Teguia,es ESP,MF,Moreirense,Primeira Liga,22.0,906,0.1987,0.0993,0.298,1.4901,0.596,40.0,0.1333,0.3691,5.179459659579675,0.1856,6.798811409272361,0,False,0.6018883091515577,-0.5199576912556125,0,Active Forward,0.507312561050993,0.2238473723360274,0.1618264468236725,0.128224667519342,"
